x,y
145.71896952833623,-16.814531188892566
145.70068944241262,-16.805820828392424
145.70080643561462,-16.81527628250348
145.72091208932616,-16.808784559458104
145.7059256280212,-16.80647549160772
145.69450886312458,-16.817765559343815
145.6985583023745,-16.81116016277109
145.7238798437631,-16.8065686675049
145.70441161619084,-16.803269259086232
145.7238718872184,-16.811806274836304
145.72037695590444,-16.812794386787136
145.7020246276098,-16.811748787448398
145.6947604757502,-16.809509769930298
145.72112762234465,-16.80335719496259
145.69799050115063,-16.81744004124144
145.7191692229236,-16.81874397468856
145.70099301042987,-16.803695303660646
145.70102422374777,-16.80901605780555
145.70378266569782,-16.815527270018084
145.70527728872443,-16.80879717557676
145.72322749669607,-16.80952906968116
145.7079092380264,-16.80461282536765
145.6958893870147,-16.812972669127888
145.7171604626766,-16.810362043459975
145.72239276132785,-16.80756451144158
145.7260291790421,-16.811239513948784
145.69790286639474,-16.806683536765338
145.72204032343734,-16.81112902802195
145.70565432875233,-16.80432296644169
145.7226232914438,-16.813656383554846
145.7005934614523,-16.817018881859404
145.702706684506,-16.814008525156726
145.71956854010674,-16.81658445407053
145.69791983577997,-16.819090532121823
145.69902146125352,-16.804610778731895
145.69975919587964,-16.807573719261246
145.7213053446389,-16.814776831691525
145.69564169254792,-16.816662873601462
145.72468156696922,-16.80847493185884
145.7041563099323,-16.805614127695094
145.693935694088,-16.807485579335314
145.71941895553633,-16.810748083757275
145.72134436785285,-16.806308445577272
145.71773372729442,-16.812203340550596
145.70265038659963,-16.804015849358002
145.7021007841367,-16.807703202952474
145.70051088668285,-16.813858533397923
145.6959627115391,-16.818982955216548
145.7100208529949,-16.803025853831322
145.69822686236824,-16.808971193660422
