x,y,n,label
6,1078,50.0,34
8,1317,50.0,53
9,249,50.0,45
16,65,50.0,43
40,839,50.0,48
50,999,50.0,23
69,715,50.0,24
69,714,50.0,24
95,1327,50.0,4
108,1361,50.0,4
125,1375,50.0,4
127,713,50.0,82
140,437,50.0,77
150,149,50.0,50
154,1094,50.0,49
188,578,50.0,81
190,646,50.0,12
224,14,50.0,21
238,833,50.0,17
279,552,50.0,66
286,488,50.0,9
305,407,50.0,5
311,366,50.0,5
316,1505,50.0,65
320,809,50.0,39
325,1085,50.0,2
331,460,50.0,9
336,967,50.0,25
351,1122,50.0,2
360,65,50.0,52
373,1291,50.0,7
377,351,50.0,70
388,235,50.0,22
404,1318,50.0,7
426,1055,50.0,60
446,597,50.0,38
448,927,50.0,58
451,522,50.0,69
479,1158,50.0,30
505,680,50.0,47
507,1266,50.0,29
540,725,50.0,85
545,1415,50.0,1
552,1048,50.0,18
558,352,50.0,55
558,190,50.0,3
566,209,50.0,3
572,482,50.0,26
573,164,50.0,3
599,1414,50.0,1
606,1490,50.0,68
613,737,50.0,32
617,197,50.0,84
633,662,50.0,74
653,1266,50.0,20
684,729,50.0,79
693,292,50.0,42
747,792,50.0,72
779,871,50.0,31
779,443,50.0,33
808,227,50.0,54
813,1408,50.0,6
841,1443,50.0,6
842,397,50.0,37
856,100,50.0,83
858,1119,50.0,28
892,803,50.0,51
897,152,50.0,44
932,446,50.0,8
982,622,50.0,14
994,474,50.0,80
1001,640,50.0,14
1010,1002,50.0,59
1060,1317,50.0,64
1063,516,50.0,11
1085,520,50.0,11
1095,911,50.0,13
1110,1006,50.0,67
1132,281,50.0,78
1151,1255,50.0,10
1183,663,50.0,73
1208,294,50.0,71
1241,1183,50.0,15
1259,1102,50.0,16
1260,1487,50.0,40
1270,1088,50.0,16
1287,1281,50.0,41
1304,884,50.0,61
1306,210,50.0,46
1308,565,50.0,36
1310,288,50.0,75
1311,127,50.0,62
1350,498,50.0,27
1371,1028,50.0,56
1375,32,50.0,19
1384,1449,50.0,0
1386,1345,50.0,63
1420,1142,50.0,35
1436,1427,50.0,0
1474,931,50.0,57
1504,1048,50.0,76
