x,y,n,label
6,1078,50.0,14
8,1317,50.0,17
9,249,50.0,3
16,65,50.0,3
40,839,50.0,8
50,999,50.0,14
69,715,50.0,8
69,714,50.0,8
95,1327,50.0,17
108,1361,50.0,17
125,1375,50.0,17
127,713,50.0,8
140,437,50.0,38
150,149,50.0,3
154,1094,50.0,14
188,578,50.0,34
190,646,50.0,34
224,14,50.0,10
238,833,50.0,25
279,552,50.0,20
286,488,50.0,20
305,407,50.0,9
311,366,50.0,9
316,1505,50.0,32
320,809,50.0,25
325,1085,50.0,35
331,460,50.0,20
336,967,50.0,7
351,1122,50.0,35
360,65,50.0,10
373,1291,50.0,31
377,351,50.0,9
388,235,50.0,9
404,1318,50.0,31
426,1055,50.0,35
446,597,50.0,15
448,927,50.0,7
451,522,50.0,15
479,1158,50.0,1
505,680,50.0,2
507,1266,50.0,1
540,725,50.0,2
545,1415,50.0,11
552,1048,50.0,37
558,352,50.0,21
558,190,50.0,33
566,209,50.0,33
572,482,50.0,21
573,164,50.0,33
599,1414,50.0,11
606,1490,50.0,11
613,737,50.0,2
617,197,50.0,33
633,662,50.0,2
653,1266,50.0,1
684,729,50.0,2
693,292,50.0,22
747,792,50.0,19
779,871,50.0,19
779,443,50.0,16
808,227,50.0,22
813,1408,50.0,27
841,1443,50.0,27
842,397,50.0,16
856,100,50.0,23
858,1119,50.0,28
892,803,50.0,19
897,152,50.0,23
932,446,50.0,6
982,622,50.0,29
994,474,50.0,6
1001,640,50.0,29
1010,1002,50.0,5
1060,1317,50.0,13
1063,516,50.0,6
1085,520,50.0,6
1095,911,50.0,5
1110,1006,50.0,5
1132,281,50.0,39
1151,1255,50.0,13
1183,663,50.0,36
1208,294,50.0,39
1241,1183,50.0,0
1259,1102,50.0,0
1260,1487,50.0,40
1270,1088,50.0,0
1287,1281,50.0,0
1304,884,50.0,30
1306,210,50.0,24
1308,565,50.0,18
1310,288,50.0,24
1311,127,50.0,12
1350,498,50.0,18
1371,1028,50.0,4
1375,32,50.0,12
1384,1449,50.0,26
1386,1345,50.0,26
1420,1142,50.0,4
1436,1427,50.0,26
1474,931,50.0,4
1504,1048,50.0,4
